serial,name,inci,typeo,hlb

2004017,DEAD SEA SALT(GRANULATED NEW),,,,,,,,,,,178.75
2004018,D/C 200/10,,,,,,,,,,,
2004019,DEHYDROACETIC ACID,,,,,,,,,,,13.16
2004020,DEIONIZED WATER,,,,,,,,,,,
2004022,DISODIUM COCOAMPHODIACETATE,,,,,,,,,,,84.4
2004023,DETERGENT TENSAGEX EOC670,,,,,,,,,,,
2004024,DRY FLO AF,,,,,,,,,,,
2004025,DETERGENT ETA70,,,,,,,,,,,
2004026,DEAD SEA SALT FINE GRANULATED,,,,,,,,,,,
2004027,DEQUART A,,,,,,,,,,,185.4
2004028,DETERGENT ETA 27,,,,,,,,,,,
2004029,Dehymuls K   -  Eucerin,,,,,,,,,,,
2004030,DMDMH,,,,,,,,,,,1.1
2004031,???????? ??????  DPG,,,,,,,,,,,
2004032,DERMOFEEL VISCOLID,,,,,,,,,,,14.6
2004033,%D-Panthenol 75,,,,,,,,,,,
2004034,(Decyl Glucoside )53% active,,,,,,,,,,,
2004035,Dead sea Bath Salt - D.R,,,,,,,,,,,
2004036,Dead Sea Mud,,,,,,,,,,,
2004037,Derm Com-Baz,rocus Chrysanthus Bulb Extract (and) Acacia Senegal Gum (and) Aqua,,,,,,,,,,3.1
2004038,Dermosoft Decalact-Tagra,Sodium Caproyl/Lauroyl Lactylate,DT,Ha Bo Fe,,�It is highly effective against microorganisms causing skin disorders like dandruff and athlete's foot,,,,,,19.64
2004039,Drago calm-Lidor,,,,,,,,,,,2
2004040,Dermofeel Sensolv,Isoamyl Laurate,Em Sp,,,"high spreading, light emollient for natural formulations", with a light & non-sticky skin feel. Natural refatting agent for hair- and skin cleansing applications with foam improving properties,,,,,24
2004041,Dermofeel MCT,,,,,,,,,,,
2004042,Dermosoft OMP,,,,,,,,,,,
2004043,D\C 560,,,,,,,,,,,
2004044,D/C 556 Fluid- feniltremiticon,Phenyl Trimethicone,Si Sp WR SPF-Bo,"cream, lotion. Non-aerosol spray",Ha Bo ,Higher SPF and wash-off,"Enhanced shine,
Improved spreading",?? ???? ??? ???? ????? (???? ????? ????? ????' ??????),?? ????,?? ????,,
2004045,D/C 520,,,,,,,,,,,
2004046,Dermofeel PA -3,Phytic Acid (and) Aqua,Chal,,,,,,,,,5.5
2004047,Dermofeel Phenon 90 m-b,,,,,,,,,,,
2004048,Dermofeel 688,p-Anisic Acid,Pr,,,"�it fungicidal activity. Together with other organics acids in surfactant based products, it unfolds a broad antimicrobial activity.",,,,,,25
2004049,Dermofeel G10 LW,,,,,,,,,,,
2004050,DETERGENT ETA70 - GALAXY,,,,,,,,,,,410.15
2004051,Disoodium EDTA,,,,,,,,,,,
2004052,Dehymuls K,,,,,,,,,,,
2004053,Didecyl Dimethyl Ammonium DDAC,,,,,,,,,,,
2005001,EUCALYPTUS OIL,,,,,,,,,,,1
2005002,EVENING PRIME ROSE OIL,,,,,,,,,,,0.5
2005003,EMULIUM DELTA PELLETS  2005023,,,,,,,,,,,
2005004,EDEN PERFUME,,,,,,,,,,,
2005005,EMULGIN B2-,,,,,,,,,,,
2005006,EXTRAPONE WALNUT,,,,,,,,,,,
2005007,EMULGADE NLB,,,,,,,,,,,
2005008,EUCALYPTOS- LEMON OIL,,,,,,,,,,,0.5
2005009,EUXYL PE 9010,,,,,,,,,,,
2005010,EYELISS,,,,,,,,,,,0.12
2005011,EUXYL700,,,,,,,,,,,
2005012,EMULGADE PL 68/50,,,,,,,,,,,
2005013,EMULGIN VL 75,,, ,,,,,,,,
2005014,EUXYL K712,,,,,,,,,,,
2005015,EXTRACT,,,,,,,,,,,
2005016,EGMS,,,,,,,,,,,
2005017,EMULGIN B3,,,,,,,,,,,
2005018,EASYLIANCE,,,,,,,,,,,18.5
2005019,EPIDERMOSIL 418,Silanetriol (and) Hyaluronic Acid,,,,,,,,,,12.88
2005020,Elastogel 135,,,,,,,,,,,53.3
2005021,ERCAWAX CS 30,,,,,,,,,,,18.8
2005022,ercamuls lf 65 v/fd,,,,,,,,,,,
2005023,Emullin Delta- BSC,,,,,,,,,,,16.8
2005024,Eucalyptus Oil _nona,,,,,,,,,,,0.01
2005025,Euxyl K 100,,,,,,,,,,,
2005026,Emosmart L19,,,,,,,,,,,
2005027,Echinacea Angustifolia Ext,,,,,,,,,,,
2005028,ElastoGel 135C,,,,,,,,,,,
2005029,Ebest Violet R,,,,,,,,,,,
2006001,FORMALINE,,,,,,,,,,,
2006002,FARENHEIT PERFUME,,,,,,,,,,,
2006005,FRUIT EXTRACT,,,,,,,,,,,
2006006,FARIC SULFAT,,,,,,,,,,,
2006007,fennel ???? EXtract,,,,,,,,,,,
2006008,FRANKINCENCE OIL,,,,,,,,,,,3.03
2006009,Fennel OIL  ??? ????,,,,,,,,,,,0.2
2006010,FD & C Blue 1-Ashcenazy,,,,,,,,,,,1.85
2006011,Flexithix- Bsc. Distributors,PVP,,,,,,,,,,7.31
2006012,Fucocert- Rosenstein,Biosaccharide Gum-1,,,,,,,,,,1.17
2006013,????? ???? ??????,,,,,,,,,,,
2006014,????? ???? ???,,,,,,,,,,,
2006015,????? ???? ???? ???,,,,,,,,,,,
2006016,????? ???? ?????,,,,,,,,,,,
2006017,????? ???? ???? ?????,,,,,,,,,,,
2006018,Flavour Strawberry - 35199,,,,,,,,,,,1
2006019,FENUGREEK OIL,,,,,,,,,,,
2007001,GATULINE A,,,,,,,,,,,
2007002,GATULINE RC,,,,,,,,,,,
2007003,GERANIUM OIL,,,,,,,,,,,0.18
2007004,GERMAIL115/IMIDAZOLIDINYL UREA,,,,,,,,,,,
2007005,GINGER OIL,,,,,,,,,,,0.5
2007006,GIRA PERFUME,,,,,,,,,,,
2007007,GLYCERINE BP 99.5%,,,,,,,,,,,136.12
2007008,GLYDANT PLUS,,,,,,,,,,,0.09
2007009,GMS ACID STABLE,,,,,,,,,,,
2007011,GRAPEFRUIT OIL,,,,,,,,,,,1.2
2007012,GREEN COLOR,,,,,,,,,,,0
2007013,GLYCERINE 99.5% ?? ?????,,,,,,,,,,,300
2007014,GLUCAMATE DOE 120,,,,,,,,,,,
2007015,GINSENG OIL,,,,,,,,,,,
2007016,GATULINE AGE DEFENCE,,,,,,,,,,,
2007017,GRAFFITI 28060,,,,,,,,,,,
2007018,GERANUME 11952,,,,,,,,,,,
2007019,GICA PERFUME,,,,,,,,,,,
2007020,GATULIN WITENING,,,,,,,,,,,
2007021,GRANSIL PSQ,,,,,,,,,,,
2007022,GREEN TEA EXTRACT,,,,,,,,,,,2.8
2007023,GRAPE SEED HS- EXTRACT,,,,,,,,,,,
2007024,GELATIN,,,,,,,,,,,
2007025,GINSENG EXTRACT 7803,,,,,,,,,,,0.18
2007026,GRAPE LEEF  OIL,,,,,,,,,,,
2007027,GRAPE SEED OIL,,,,,,,,,,,1.99
2007028,GEOGARD ULTRA,,,,,,,,,,,48.46
2007029,GMS - NSE,,,,,,,,,,,4.09
2007030,GMS =  SE,,,,,,,,,,,
2007031,Genamin KDMP,,,,,,,,,,,26.65
2007032,Gransil EPSQ,,,,,,,,,,,
2007033,Gatuline  Expression,,,,,,,,,,,
2007034,gatuline in-tense,,,,,,,,,,,
2007035,Glycerin G995K,,,,,,,,,,,
2007036,Glaucine,,,,,,,,,,,
2007037,Glypure  70  - DUPONT -,,,,,,,,,,,13
2007038,Glyceryl Stearate,,,,,,,,,,,
2007039,Geogard 111A- Helion,,,,,,,,,,,23
2007040,Ginkgo Biloba- Tagra,,,,,,,,,,,5
2007041,Glycerin- Dipochem,,,,,,,,,,,
2007042,Glycerolat of Camomille- Rosen,,,,,,,,,,,7.6
2007043,6- Gransil DMG,,,,,,,,,,,
2007044,Glypure 70,,,,,,,,,,,-0.4
2007045,Guarana Hydroglyserine,,,,,,,,,,,1.82
